Date,Open,High,Low,Close,Volume,Symbol
2024-02-29,82.93392944335938,87.60474395751953,79.85250854492188,80.96888732910156,158867473,BSV-USD
2024-03-01,80.94728088378906,84.88304901123047,80.80197143554688,84.88304901123047,90366175,BSV-USD
2024-03-02,84.88226318359375,119.31255340576172,84.60274505615234,115.75501251220703,410693437,BSV-USD
2024-03-03,115.71680450439453,128.27064514160156,104.8395004272461,109.02214813232422,337574619,BSV-USD
2024-03-04,109.0047607421875,125.7856216430664,105.20303344726562,115.45219421386719,263993693,BSV-USD
2024-03-05,115.37664031982422,126.25607299804688,92.63712310791016,99.52565002441406,287610705,BSV-USD
2024-03-06,99.5277328491211,104.05284118652344,95.2028579711914,102.99677276611328,148297504,BSV-USD
2024-03-07,102.995849609375,102.995849609375,99.4002914428711,102.4672622680664,131269968,BSV-USD
2023-03-07,0.1425819993019104,0.14544899761676788,0.13327300548553467,0.13741399347782135,51973503,GRT6719-USD
2023-03-08,0.1374019980430603,0.13884900510311127,0.122468002140522,0.12477599829435349,55914914,GRT6719-USD
2023-03-09,0.12478800117969513,0.1281599998474121,0.11413399875164032,0.11708199977874756,71221550,GRT6719-USD
2023-03-10,0.11708799749612808,0.11764200031757355,0.10595600306987762,0.11657000333070755,82006396,GRT6719-USD
2023-03-11,0.11656399816274643,0.12149699777364731,0.1101899966597557,0.11480599641799927,55776378,GRT6719-USD
2023-03-12,0.11480399966239929,0.1321129947900772,0.11230400204658508,0.13171599805355072,64401573,GRT6719-USD
2023-03-13,0.13176199793815613,0.14736099541187286,0.12953899800777435,0.1451909989118576,137368469,GRT6719-USD
2023-03-14,0.14520299434661865,0.16201399266719818,0.1403149962425232,0.15253600478172302,198961581,GRT6719-USD
2023-03-15,0.15259599685668945,0.15747299790382385,0.13258500397205353,0.14095300436019897,139193181,GRT6719-USD
2023-03-16,0.14085200428962708,0.15925900638103485,0.13982300460338593,0.1513260006904602,150965021,GRT6719-USD
2023-03-17,0.15136200189590454,0.1630299985408783,0.14808699488639832,0.1630299985408783,129235269,GRT6719-USD
2023-03-18,0.1631069928407669,0.1750909984111786,0.154572993516922,0.15487900376319885,191165973,GRT6719-USD
2023-03-19,0.1549070030450821,0.16758500039577484,0.15376800298690796,0.15552300214767456,133168130,GRT6719-USD
2023-03-20,0.15545900166034698,0.1587900072336197,0.14684200286865234,0.14913199841976166,113955320,GRT6719-USD
2023-03-21,0.14909499883651733,0.15476000308990479,0.14322799444198608,0.15224899351596832,90861801,GRT6719-USD
2023-03-22,0.15222500264644623,0.15357600152492523,0.13858799636363983,0.14354999363422394,99713686,GRT6719-USD
2023-03-23,0.14354200661182404,0.15734200179576874,0.14174500107765198,0.15247100591659546,100609615,GRT6719-USD
2023-03-24,0.15243999660015106,0.15243999660015106,0.13935799896717072,0.14290399849414825,69012411,GRT6719-USD
2023-03-25,0.1428840011358261,0.1435140073299408,0.13651500642299652,0.13805800676345825,43549353,GRT6719-USD
2023-03-26,0.13804900646209717,0.1424500048160553,0.13702000677585602,0.1416029930114746,31243609,GRT6719-USD
2023-03-27,0.14160999655723572,0.14164100587368011,0.13017599284648895,0.1339620053768158,49941040,GRT6719-USD
2023-03-28,0.13396300375461578,0.14072200655937195,0.12976400554180145,0.14038300514221191,47475492,GRT6719-USD
2023-03-29,0.1403609961271286,0.14917400479316711,0.1398169994354248,0.1467379927635193,63363092,GRT6719-USD
2023-03-30,0.14672499895095825,0.150301992893219,0.14027300477027893,0.14448000490665436,57284941,GRT6719-USD
2023-03-31,0.14451999962329865,0.14684699475765228,0.140515998005867,0.1455329954624176,39124778,GRT6719-USD
2023-04-01,0.14552100002765656,0.14788100123405457,0.14063000679016113,0.1410599946975708,31762813,GRT6719-USD
2023-04-02,0.14275600016117096,0.1432649940252304,0.13683800399303436,0.1387290060520172,33186406,GRT6719-USD
2023-04-03,0.13871900737285614,0.1427289992570877,0.13410000503063202,0.13947300612926483,50763539,GRT6719-USD
2023-04-04,0.13946500420570374,0.14351099729537964,0.1386609971523285,0.14313200116157532,35078877,GRT6719-USD
2023-04-05,0.1431419998407364,0.15643900632858276,0.14259900152683258,0.14768700301647186,95445132,GRT6719-USD
2023-04-06,0.14769600331783295,0.14780600368976593,0.14380599558353424,0.145688995718956,38390097,GRT6719-USD
2023-04-07,0.1457120031118393,0.14591799676418304,0.1407960057258606,0.14261400699615479,36326207,GRT6719-USD
2023-04-08,0.1425749957561493,0.1456100046634674,0.14093300700187683,0.141526997089386,29454694,GRT6719-USD
2023-04-09,0.14153900742530823,0.14456899464130402,0.13942599296569824,0.14364899694919586,29454598,GRT6719-USD
