ds,yhat,yhat_lower,yhat_upper
2024-01-24,46825.057160588236,43687.35581689925,49604.69245286546
2024-01-25,46855.30169303356,44001.47964000589,49850.28697728571
2024-01-26,46920.54613307738,44048.453844162425,49895.35406662534
2024-01-27,47079.84968296182,43925.38709847518,49909.753660040624
2024-01-28,47321.40425668534,44286.95969894654,50221.60735088222
2024-01-29,47757.733957797194,44913.67535007819,50688.36568932141
2024-01-30,48088.957050138946,45171.61983976128,50803.4962167644
2024-01-31,48464.26700802866,45735.66802802148,51385.66904725653
2024-02-01,48494.51154047531,45665.24088584249,51541.79555599671
2024-02-02,48559.7559805177,45806.96536648501,51491.76107395327
2024-02-03,48719.05953040209,45845.50533420212,51679.28983334374
2024-02-04,48960.614104125474,45806.20431024531,51851.366028115415
2024-02-05,49396.943805237745,46423.39560903171,52146.857539318764
2024-02-06,49728.16689757956,46888.82244983784,52379.00773883265
2024-02-07,50103.476855469096,47340.096117307934,52999.67852257968
2024-02-08,50133.721387915466,47307.64431036241,52975.802286998114
2024-02-09,50198.965827958644,47237.83040224245,53083.346556374505
2024-02-10,50358.26937784236,47325.45937072208,53141.19507205658
2024-02-11,50599.823951565995,47833.70632269398,53370.340988462085
2024-02-12,51036.153652678506,48059.781004070515,54010.17339748984
2024-02-13,51367.37674502018,48492.31774451428,54385.878818981895
2024-02-14,51742.68670290968,48811.68517477265,54612.58643932873
2024-02-15,51772.93123535586,48897.7318443942,54581.993434562566
2024-02-16,51838.17567539926,48959.05775768975,54628.50582858093
2024-02-17,51997.47922528292,49039.151449421086,54731.15287563852
2024-02-18,52239.03379900651,49381.82732603333,54938.88678662193
2024-02-19,52675.36350011905,50007.15462654238,55409.38766423832
2024-02-20,53006.586592460175,50103.09011833077,56127.62607707881
2024-02-21,53381.89655035026,50420.05807887782,56297.49009590618
2024-02-22,53412.14108279601,50400.131924140114,56276.563826761856
2024-02-23,53477.385522839286,50452.78151885606,56302.69952754832
2024-02-24,53636.68907272348,50500.820448641425,56371.82459645595
2024-02-25,53878.243646446645,50951.21551401937,56821.88940230442
2024-02-26,54314.5733475597,51437.92245143342,57123.808791147545
2024-02-27,54645.796439900776,51889.62510282594,57410.32434125259
2024-02-28,55021.10639779073,51969.74507174882,57970.34198674594
2024-02-29,55051.35093023642,51964.813117409365,57812.53914646106
2024-03-01,55116.5953702799,52426.91815359874,57895.534197099376
2024-03-02,55275.89892016407,52518.179448826726,58292.66055890418
2024-03-03,55517.453493887166,52348.9055764384,58590.714584241054
2024-03-04,55953.78319500024,53135.91482452868,58832.310310665736
2024-03-05,56285.006287341406,53385.31292836324,59090.6828737962
2024-03-06,56660.31624523102,53824.23835674436,59618.72525927704
2024-03-07,56690.560777677674,53936.72558201568,59414.466123166654
2024-03-08,56755.805217720204,53606.063578761605,59420.97657993146
2024-03-09,56915.10876760434,54022.064451973754,59925.34991885838
2024-03-10,57156.6633413279,53906.293772235505,60035.706626311614
2024-03-11,57592.99304244089,54583.31725700456,60515.06466418701
2024-03-12,57924.216134781986,55161.57915898718,60955.34776363451
2024-03-13,58299.5260926716,55557.20107315937,61357.497363937626
2024-03-14,58329.77062511807,55481.71925087498,61484.18850160454
2024-03-15,58395.015065160835,55504.04178988538,61452.31700489529
2024-03-16,58554.318615045195,55281.12610648165,61386.06287844591
2024-03-17,58795.87318876821,55730.00113793848,61806.92068057348
2024-03-18,59232.20288988084,56292.20056416017,62144.78189802585
2024-03-19,59563.42598222262,56520.46230126305,62529.408435809426
2024-03-20,59938.73594011218,56864.77365091766,63116.10865272644
2024-03-21,59968.98047255822,56472.31561478465,63230.588996849285
2024-03-22,60034.22491260115,56678.935836486686,63235.9736103858
2024-03-23,60193.52846248549,56961.634004512525,63356.18024007753
2024-03-24,60435.08303620895,57100.20193329417,63594.35898693399
2024-03-25,60871.412737321494,57307.849547402846,64129.05456357911
2024-03-26,61202.635829663224,57756.78594546274,64498.42128578156
2024-03-27,61577.94578755263,57835.197260372785,64625.049005044384
2024-03-28,61608.19031999888,57906.84659809379,65115.12623528168
2024-03-29,61673.43476004211,57624.31823365165,65448.290060107654
2024-03-30,61832.73830992634,58057.08169212841,65549.69616988447
2024-03-31,62074.2928836497,58185.49109314521,65850.44748977349
2024-04-01,62510.62258476203,58215.575882287434,66493.3997068103
2024-04-02,62841.84567710326,58879.83442708914,66925.07237680686
2024-04-03,63217.155634993374,58951.66408487675,67263.13462703042
2024-04-04,63247.400167439046,58590.664471285905,67031.57103208896
2024-04-05,63312.64460748241,58305.03868188666,67378.46248461303
2024-04-06,63471.948157366634,58731.62067973148,67649.78162330022
2024-04-07,63713.50273109021,58562.25716172545,68257.69302061935
